method,interpretability,n_clusters,noise_pct,silhouette,davies_bouldin,calinski_harabasz,stability_ari,business_ari,business_nmi,coverage_pct,accuracy
K-means (k=4),8.0,4,0.0,0.574,0.666,7974.0,0.996,0.6,0.53,100.0,0.9918810441280916
Fuzzy c-means (k=4),5.5,4,0.0,0.566,0.666,7913.0,0.994,0.56,0.507,100.0,0.9840742380238156
Ward hierarchical,6.0,4,0.0,0.53,0.636,6364.0,0.793,0.499,0.482,100.0,0.8245330159854708
Rule-based thresholds,10.0,4,0.0,0.543,0.818,4272.0,1.0,1.0,1.0,100.0,0.7890412323209602
Birch (k=4),7.0,4,0.0,0.556,0.84,3705.0,0.707,0.54,0.471,100.0,0.6491656362519607
Spectral (k=4),3.0,4,0.0,0.125,0.729,1990.0,0.949,0.135,0.358,100.0,0.4598161464916497
HDBSCAN (auto),4.0,4,69.5,0.658,0.546,19980.0,0.834,-0.029,0.213,30.5,0.39653215410242787
GMM (k=4),6.0,4,0.0,0.375,0.915,1975.0,0.383,0.53,0.46,100.0,0.32876486220349144
