card_name,card_type,color,cmc,power_rank,power_score,pctrank_power,deck_count,total_copies,unscored,unscored_reason,prevalence_flat,prevalence_placement,prevalence_prestige,prevalence_combined,pctrank_prevalence_flat,pctrank_prevalence_placement,pctrank_prevalence_prestige,pctrank_prevalence_combined,gap_flat,gap_placement,gap_prestige,gap_combined
Up the Beanstalk,Enchantment,Green,2.0,16529.0,11215.0,27.77777777777778,59,235,False,scored,0.190902,0.260077,0.21972,0.266184,93.47389558232932,94.87951807228916,94.37751004016064,94.37751004016064,65.69611780455153,67.10174029451139,66.59973226238287,66.59973226238287
Chancellor of the Annex,Creature,White,7.0,23678.0,4066.0,7.657657657657658,17,41,False,scored,0.033306,0.044727,0.035536,0.036177,72.84136546184739,74.59839357429719,73.0421686746988,70.78313253012048,65.18370780418974,66.94073591663954,65.38451101704115,63.125474872462824
Seasoned Dungeoneer,Creature,White,4.0,15003.0,12741.0,29.87987987987988,70,279,False,scored,0.226645,0.254003,0.25976,0.289414,94.57831325301204,94.77911646586345,95.38152610441767,94.87951807228916,64.69843337313216,64.89923658598357,65.5016462245378,64.99963819240928
Shardless Agent,Creature,Multicolor,3.0,21596.0,6148.0,13.363363363363364,15,57,False,scored,0.046304,0.045831,0.066066,0.077685,76.90763052208835,74.79919678714859,81.17469879518072,81.52610441767068,63.54426715872499,61.435833423785226,67.81133543181735,68.16274105430732
Dismember,Instant,Colorless,3.0,23464.0,4280.0,8.258258258258259,34,38,False,scored,0.030869,0.033683,0.032032,0.02818,71.63654618473896,70.58232931726907,71.73694779116465,67.62048192771084,63.3782879264807,62.32407105901081,63.478689532906394,59.36222366945258
Caves of Chaos Adventurer,Creature,Red,4.0,16229.0,11515.0,28.22822822822823,49,181,False,scored,0.147035,0.122584,0.195696,0.148515,91.46586345381526,88.55421686746988,93.67469879518072,90.51204819277109,63.23763522558703,60.32598863924164,65.44647056695248,62.28381996454286
Aluren,Enchantment,Green,4.0,24381.0,3363.0,5.405405405405405,8,28,False,scored,0.022746,0.045279,0.02002,0.034653,67.62048192771084,74.6987951807229,66.214859437751,70.28112449799197,62.21507652230544,69.2933897753175,60.8094540323456,64.87571909258656
Terminus,Sorcery,White,6.0,20585.0,7159.0,15.765765765765765,38,62,False,scored,0.050366,0.077858,0.053053,0.070449,77.61044176706827,82.93172690763052,77.91164658634538,80.12048192771084,61.8446760013025,67.16596114186476,62.14588082057962,64.35471616194508
Thoughtcast,Sorcery,Blue,5.0,19995.0,7749.0,17.56756756756757,18,72,False,scored,0.058489,0.037548,0.07007,0.025895,79.11646586345381,71.73694779116465,81.92771084337349,66.76706827309236,61.54889829588625,54.16938022359709,64.36014327580592,49.1995007055248
Supreme Verdict,Sorcery,Multicolor,4.0,23972.0,3772.0,6.306306306306307,16,24,False,scored,0.019496,0.013252,0.017518,0.013709,66.06425702811245,55.52208835341366,64.70883534136546,58.23293172690763,59.75795072180615,49.21578204710735,58.40252903505915,51.926625420601326
